Adam de La Halle,620
Pierre Henry,618
Franz Schubert,615
Juan del Encina,615
Ottorino Respighi,612
Wilhelm Friedemann Bach,612
Robert Caby,612
Pierre Gautier,612
Ernest Chausson,612
Ferdinand Hérold,602
Bernhard Zimmermann,600
Joseph Canteloube,588
Cole Porter,588
Willem De Fesch,585
Guiraut de Bornelh,585
Orlando Gibbons,582
Henri Dutilleux,582
Pierre de La Rue,576
Morton Feldman,570
Jacques Ibert,570
Johann Adolf Hasse,570
Magnus Lindberg,568
Samuel Scheidt,558
Nicolas Bacri,552
Ernest Bloch,546
Salvatore Sciarrino,546
Antonio Bertali,540
Rabah Deriassa,540
Betsy Jolas,540
Abélard,540
Michael Haydn,532
Josef Strauss,528
Maurice Yvain,528
Gustav Holst,528
Jacques Clément,528
Philippe Hersant,522
Marcial del Adalid,522
Erich Wolfgang Korngold,522
Antoine Dauvergne,516
Luigi Nono,516
Mauro Giuliani,514
William Cornysh,510
Gherardello da Firenze,510
Vincenzo Bellini,510
Louis-Nicolas Clérambault,508
Vincent Scotto,508
François Rossé,508
Giovanni Bononcini,506
Jacques Du Phly,504
Charles Baudelaire,504
Éric Tanguy,504
John Dunstaple,500
Arnold von Bruck,500
Brice Pauset,498
Henri Duparc,498
John McCabe,496
Édith Canat de Chizy,492
Kaija Saariaho,492
Jacques-Louis Battmann,490
Gurudev,480
Carlo Goldoni,480
Heino Eller,480
Michael Nyman,474
Henry VIII,468
Heinz Holliger,468
Ernst Theodor Amadeus Hoffmann,465
Jean-Baptiste Stuck,464
André Caplet,462
John Dowland,458
Fromental Halévy,456
Georges Brassens,456
Francesco de Layolle,450
Nicolas Racot de Grandval,450
Girolamo Frescobaldi,450
Niccolò Jommelli,450
Peirol d'Auvèrnha,450
Giovanni Battista Sammartini,448
Theobaldo di Gatti,444
Hugues Dufourt,444
Gérard Pesson,444
Philippe Manoury,444
Charles Lecocq,440
Sigismund Neukomm,440
Christoph Thomas Walliser,440
Tristan Murail,438
Édouard Lalo,438
Pedro de Escobar,435
Alexander Zemlinsky,432
Ignaz Pleyel,428
Marin Marais,426
Antoine Brumel,425
Richard Rodgers,420
Dun Tan,420
Charlie Parker,420
Gottfried Heinrich Stölzel,420
Paul McCartney,420
Johann Wolfgang von Goethe,410
Tôn Thất Tiết,408
Edgard Varèse,408
Fritz Kreisler,404
André-Ernest-Modeste Grétry,402
Giovanni da Cascia,400
Orazio Vecchi,400
Jean Japart,400
Philippe Hurel,396
Isabelle Aboulker,396
Per Norgard,396
Dmitri Chostakovitch,396
Jean Cras,390
Harrison Birtwistle,390
Michaël Lévinas,390
Bob Dylan,390
Tom Johnson,390
Arrigo Boito,384
Gara Garayev,384
Aleksandr Dmitrievič Kastalʹskij,384
Giacinto Scelsi,384
François Dufaut,378
Leonhard Lechner,378
Yury Markovich Butsko,378
Georges Bachmann,377
Alain Bashung,375
Akio Yashiro,375
Karol Beffa,372
Krzysztof Penderecki,372
Giulio Caccini,366
Johann Adam Reincken,364
M.,363
M.C. Màlama,360
Peter Maxwell Davies,360
Jean-Jacques Goldman,360
Felice Giardini,360
Jean-Henri d' Anglebert,360
François Devienne,360
Charles-Marie Widor,360
Thomas Ford,360
Francois Collin de Blamont,357
Michel Corrette,356
Pēteris Vasks,354
Chip,351
Vasilij Sergeevič Kalinnikov,351
Jacques-Marie Boutet de Monvel,350
Gilbert Amy,348
Blondel de Nesle,348
Valentin Silvestrov,342
Jonathan Harvey,342
Klaus Huber,342
Bruno Maderna,342
Alberto Ginastera,342
György Kurtág,340
Michel Farinel,340
Jean Mouton,336
Rued Langgaard,336
